column,column_nat,column_type,table_list,table_cnt,type,sample_list
company_name,업체 명,string,"['cell_1d', 'cell_1h', 'cell_1m', 'cell_1w', 'comp_1d', 'comp_1h', 'comp_1m', 'comp_1w', 'enb_1d', 'enb_1h', 'enb_1m', 'enb_1w', 'enb_alias_1d', 'imsi_cell_1d', 'imsi_cell_1h', 'imsi_enb_1d', 'imsi_enb_1h', 'part_1d', 'part_1h', 'part_1m', 'part_1w', 'part_alias_1d', 'cell_mno_1d', 'cell_mno_1h', 'cell_mno_1m', 'cell_mno_1w', 'comp_1d', 'comp_mno_1d', 'comp_mno_1h', 'comp_mno_1m', 'comp_mno_1w', 'enb_alias_1d', 'enb_mno_1d', 'enb_mno_1h', 'enb_mno_1m', 'enb_mno_1w', 'imsi_cell_1d', 'imsi_cell_1h', 'imsi_enb_1d', 'imsi_enb_1h', 'part_1d', 'part_alias_1d', 'part_mno_1d', 'part_mno_1h', 'part_mno_1m', 'part_mno_1w', 'kpi_part_1d']",47,string,"['flXQoUTsQ', 'WpXvRqgbrC', 'GnHSKhP9']"
complete,완료호,double,"['s_cdr_enb_1h', 's_cdr_cel_1h']",2,number,"[0.459625, 0.740378, 0.812864]"
complied_date,DM Complied Date,string,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,string,"['AYTIK990', 'EOSTjcPv', 'nxWRGmW0iYIZ']"
conn_rhu_port_id,연결 RHU 포트 ID,string,['ss_schedule_report_1d'],1,string,"['1DgkuC3Nd', 'Bcmwrnlit', 'yjSDBkfwUQO']"
conn_rpt_type,연동 중계기 Type,string,['ircs_rpt_report_rf'],1,string,"['oWALkzXBQeif', 'MVGMGnrm', 'OPPLMgb9']"
connect_rutype,RU타입정보  IIU가 중계기,string,['cl_enb_ru'],1,string,"['d6nHQdgmGAR', 'THzb6N3nYdN', 'JNiRFkcGxu']"
connectboardid,연결보드ID,string,"['ss_rrh_iiu_conf_ems_pld', 'ss_iiu_conf_ems_pld']",2,string,"['8B4MlEQgc', 'pXZeMPcyq', 'Kl4pYHNrwFn']"
connectportid,연결포트ID,string,"['ss_rrh_iiu_conf_ems_pld', 'ss_iiu_conf_ems_pld']",2,string,"['oBmZ8FWX', 'CzsoVW4HluQi', 'K3hTf690B']"
connestabatt,ConnEstabAtt,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.3942, 0.4803, 0.7004]"
connestabfail_cpccfail,연결설정실패 CPCCFail,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.063037, 0.773474, 0.820537]"
connestabfail_cpccto,연결설정실패 CPCCTo,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.409, 0.519, 0.6]"
connestabfail_rrcsigto,연결설정실패 RRCSIGTo,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.5322, 0.844, 0.8559]"
connestabfail_s1aplinkfail,연결설정실패 S1APLinkFail,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.27, 0.38, 0.45]"
connestabfail_s1apsigfail,연결설정실패 S1APSIGFail,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.1458, 0.249, 0.4977]"
connestabfail_upmacfail,연결설정실패 UpMACFail,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.0267, 0.037374, 0.356684]"
connestabfail_uppdcpfail,연결설정실패 UpPDCPFail,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.23, 0.69, 0.76]"
connestabfail_uprlcfail,연결설정실패 UpRLCFail,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.4607367, 0.7582563, 0.8500306]"
connestabreject_cpcapacacfail,연결설정거부 CPCAPACACFail,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.514, 0.578, 0.622]"
connestabreject_cpccfail,연결설정거부 CPCCFail,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.1, 0.7, 0.8]"
connestabreject_s1apmmeovld,연결설정거부 S1APMMEOverload,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.3182, 0.70678, 0.7428]"
connestabsucc,additional ConnEstabSucc 당일,double,['dpsn_lte_ss_enb_kpi_ctrf_ovrl_1h'],1,number,"[0.152179, 0.535347, 0.867318]"
connestabtimeavg,ConnEstabTimeAvg,double,['dpsn_lte_ss_enb_rrc_connection_setup_time_1h'],1,number,"[0.22, 0.85, 0.94]"
connestabtimecnt,ConnEstabTimeCnt,double,['dpsn_lte_ss_enb_rrc_connection_setup_time_1h'],1,number,"[0.2, 0.4, 0.9]"
connestabtimemax,ConnEstabTimeMax,double,['dpsn_lte_ss_enb_rrc_connection_setup_time_1h'],1,number,"[0.08, 0.14, 0.71]"
